Month,Date,Incident
Jan-2024,January - 16,"A Communist Party of India-Maoist (CPI-Maoist) cadre, identified as Ratan Kashyap alias Salam (31), involved in the killing of three Policemen and carrying a reward of INR 500,000 on his head, was killed in a gunbattle with Security Forces (SFs) in t
Read more... A Communist Party of India-Maoist (CPI-Maoist) cadre, identified as Ratan Kashyap alias Salam (31), involved in the killing of three Policemen and carrying a reward of INR 500,000 on his head, was killed in a gunbattle with Security Forces (SFs) in the forest near Mangnar village under Barsur Police Station limits in Dantewada District of Chhattisgarh on January 16, reports Deccan Herald. Personnel of the District Reserve Guard (DRG) and Bastar Fighters (BF), both State Police units, and the Central Reserve Police Force's (CRPF) 195th battalion were out on an anti-Naxal [Left Wing Extremism, LWE] operation after receiving intelligence inputs about the presence of armed Naxals of the Aamdai Area Committee in the Mangnar Forest, a senior Police official said. Kashyap was the Todma ‘Militia Platoon Deputy Commander’ as well as an Aamdai ‘Area Committee Member (ACM)’ of the outlawed Maoist organisation, the officer added. In 2020, Kashyap was involved in an Improvised Explosive Device (IED) blast in which two Policemen were killed and in the murder of a Policeman elsewhere in the Mardum area of Bastar District, the official said. Kashyap was involved in a total of nine Naxal violence incidents in Dantewada and Bastar Districts, he added.
Read less..."
Jan-2024,January - 16,"A gunfight took place between Security Forces (SFs) and cadres of the Communist Party of India-Maoist (CPI-Maoist) in the hills between Takilkot and Binagunda villages in Kanker District of Chhattisgarh on January 16, reports The Print. A makeshift M
Read more... A gunfight took place between Security Forces (SFs) and cadres of the Communist Party of India-Maoist (CPI-Maoist) in the hills between Takilkot and Binagunda villages in Kanker District of Chhattisgarh on January 16, reports The Print. A makeshift Maoist unit that manufactured Barrel Grenade Launchers (BGLs) was demolished during the operation. A Bipod Grenade Launcher, 14 BGL shells, two air rifles, two muzzle-loading weapons, three INSAS (Indian Small Arms System) magazines, a telescope, two generators, Maoist uniforms, and food materials in huge quantities were also recovered. “Given the amount of arms and ammunition recovered, it seems that the Maoists had hidden these things with the aim to cause damage to security forces, citizens and public property,” Bastar Police said.
Read less..."
Jan-2024,January - 16,"Chhattisgarh Police have refuted the claims of the Communist Party of India-Maoist (CPI-Maoist) that as many as 35 security personnel were killed in the PLGA (People's Liberation Guerilla Army) attack on the Central Reserve Police Force (CRPF) Dharma
Read more... Chhattisgarh Police have refuted the claims of the Communist Party of India-Maoist (CPI-Maoist) that as many as 35 security personnel were killed in the PLGA (People's Liberation Guerilla Army) attack on the Central Reserve Police Force (CRPF) Dharmaram camp in Pamed area in Bijapur District of Chhattisgarh on January 16, reports Telangana Today on January 23. The Police described the claims of CPI-Maoist ‘central regional bureau (CRB)’ ‘spokesperson’ Pratap about the casualties on the Police side as far-fetched and baseless. They asserted that only four security personnel lost their lives in the attack. According to sources, as many as 65 Maoist sympathisers and those supporting the Maoists have been arrested in the Bastar region in the past week following the attack, and a probe is underway into the incident.
Read less..."
Jan-2024,January - 16,"Islamic State (IS) sympathiser from India, Mehdi Mosroor Biswas, who gained notoriety as a propagandist on social media for the terrorist outfit in 2014, was convicted on January 16, by a Bengaluru court on charges of terrorism, waging war against an
Read more... Islamic State (IS) sympathiser from India, Mehdi Mosroor Biswas, who gained notoriety as a propagandist on social media for the terrorist outfit in 2014, was convicted on January 16, by a Bengaluru court on charges of terrorism, waging war against an Asiatic ally and promoting enmity, reports The Indian Express. Biswas, who went by the name @shamiwitness on X (formerly Twitter), used the social media handle to sympathise with the outfit during the rise of the IS in Syria in 2014. Biswas, now 34, was arrested when he was 24-year-old in Bengaluru on December 13, 2014. His arrest came after the UK’s Channel 4 revealed that he was behind the @shamiwitness handle that was helping British IS recruits join ISIS (then Islamic State of Iraq and Syria) in Syria. He has also been convicted under Section 125 of the Indian Penal Code (IPC) for attempting to wage a war against an “Asiatic Power in alliance or at peace with the Government of India” which also entails seven years in prison and under IPC Sections 153 A for promoting enmity between groups and 505 for statements conducing to public mischief. The court has posted the hearing on sentencing in the case to January 19, 2024.
Read less..."
Jan-2024,January - 16,"On January 16, Chinar Corps Commander Lt General Rajiv Ghai said that the security situation in Kashmir is good, but there is still some distance needed to cover to achieve complete peace, reports Daily Excelsior. “…the situation is good. You heard o
Read more... On January 16, Chinar Corps Commander Lt General Rajiv Ghai said that the security situation in Kashmir is good, but there is still some distance needed to cover to achieve complete peace, reports Daily Excelsior. “…the situation is good. You heard our Army Commander (Northern Army Commander Lt Gen Upendra Dwivedi) also speak about it. It is good, but yet, there is a little distance that we have to move forward (to cover),” the Army officer said. He said the Army is trying to control the aspect of narco-terrorism in Kashmir. “We are completely involved with the UT administration and the Police in trying to control that aspect of terrorism. So, we are working in that direction,” he added.
Read less..."
Jan-2024,January - 16,"On January 16, Director General of Police (DGP) R. R. Swain declared that just like police has classified the terrorists in A, B and C categories, the narcotic dealers will also be classified and stern action under law will be taken against them as h
Read more... On January 16, Director General of Police (DGP) R. R. Swain declared that just like police has classified the terrorists in A, B and C categories, the narcotic dealers will also be classified and stern action under law will be taken against them as he sought support of the families to curb the menace, reports Daily Excelsior. “Funds generated from narcotics are being used to finance terrorism in J&K. We will be doing a massive mapping and categorizing the narco-dealers like we have classified terrorists in A, B and C category. We will soon be able to frame a list of narcotics dealers A, B and C,” Swain said.
Read less..."
Jan-2024,January - 16,"On January 16, Manipur Police stated that four cadres of People’s Revolutionary Party of Kangleipak (PREPAK) were arrested along with arms, ammunition, demand letters, and INR 22,000 in cash from different locations in Imphal West District of Manipur
Read more... On January 16, Manipur Police stated that four cadres of People’s Revolutionary Party of Kangleipak (PREPAK) were arrested along with arms, ammunition, demand letters, and INR 22,000 in cash from different locations in Imphal West District of Manipur, reports Northeast Now. In one incident, two PREPAK-Progressive cadres were arrested for extortion of money from the general public in Imphal West District. While in another incident, Police raided a hideout and arrested two cadres of PREPAK-VC for extortion from various shops in Imphal West District. One .32 pistol along with one magazine with four live rounds were recovered from them.
Read less..."
Jan-2024,January - 16,"On January 16, Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun threatened to kill Punjab Chief Minister Bhagwant Mann and Director General Police (DGP), Gaurav Yadav, on Republic Day (January 26), reports India Today. Pannun urged gangsters to
Read more... On January 16, Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun threatened to kill Punjab Chief Minister Bhagwant Mann and Director General Police (DGP), Gaurav Yadav, on Republic Day (January 26), reports India Today. Pannun urged gangsters to unite and launch an attack on the Chief Minister on January 26. In the video, Pannun, also challenged Prime Minister Narendra Modi to participate in the Republic Day function without security cover, add Indian Express. “I dare Modi, you come to Delhi without your security. If you are a popular leader, come to Delhi on Republic Day without security. The SFJ will raise the Khalistani flag and avenge the killing of Shaheed Nijjar [Canada-based pro-Khalistan leader and 'chief' of Khalistan Tiger Force (KTF), Hardeep Singh Nijjar, was shot dead by two unidentified youths at the Guru Nanak Sikh Gurdwara in Surrey city of British Columbia Province in Canada on June 19, 2023],” he said in the video. This is the latest in the series of threats the SFJ founder and designated terrorist, Pannun, issued against Indian establishments and authorities.
Read less..."
Jan-2024,January - 16,"On January 16, the National Investigation Agency (NIA) filed a charge sheet against five persons, including 'designated individual terrorist' Lakhbir Singh Rode alias Baba and Ranjot alias Rana, in a case relating to cross-border smuggling of arms by
Read more... On January 16, the National Investigation Agency (NIA) filed a charge sheet against five persons, including 'designated individual terrorist' Lakhbir Singh Rode alias Baba and Ranjot alias Rana, in a case relating to cross-border smuggling of arms by drones into Punjab, reports NDTV. Besides Rode and Ranjot, the others named in the charge sheet are Taranjot Singh alias Tanna and Gurjit Singh alias Paa of Gurdaspur in Punjab, and Pakistan-based smuggler Rehmat Ali alias Miyan, an NIA spokesperson said. The charge sheet was filed in the NIA special court, Mohali (Sahibzada Ajit SIngh Nagar), Punjab, in the case in which a cache of firearms and ammunition was recovered from a cremation ground in village Bagtana Boharwala, Dera Baba Nanak, Batala, in the border area of Punjab, on March 24, 2023.
Read less..."
Jan-2024,January - 16,"The Communist Party of India-Maoist (CPI-Maoist) ‘central regional bureau (CRB)’ has described the January 16 PLGA (People's Liberation Guerilla Army) attack on the Central Reserve Police Force (CRPF) Dharmavaram camp in Pamed area in the Bijapur Dis
Read more... The Communist Party of India-Maoist (CPI-Maoist) ‘central regional bureau (CRB)’ has described the January 16 PLGA (People's Liberation Guerilla Army) attack on the Central Reserve Police Force (CRPF) Dharmavaram camp in Pamed area in the Bijapur District of Chhattisgarh state as ""unprecedented,"" reports Telangana Today on January 22. Its ‘spokesperson’ Pratap, in a statement released to the media on January 22, claimed the attack was a “befitting reply to the recently launched ‘Operation Kagaar-Surya Shakti’ by the Brahmanical Hindutva fascist rulers to eradicate the Maoist movement and to the ongoing onslaught on adivasis”. The PLGA fighters, along with thousands of revolutionary masses, executed the raid. In the three-hour raid, the guerillas fired more than 600 grenade launcher shells and other country-made grenades with rapid firings on the CRPF camp, he said. Pratap claimed that as many as 35 security personnel were killed and more than 40 were seriously injured. Prior to the raid, the guerillas took the entire periphery of the camp under their control. The locals disabled the movement of additional forces by blocking the roads with huge tree logs, and the militia kept landmines to attack the incoming forces. A Maoist ‘commander’ Devalu, ‘battalion member’ Vikram, and People’s ‘militia’ (people’s army of the Maoists) member Madkam Devalu were killed during the raid. Police officials, the State and Central governments were silent regarding the raid and trying to keep the details of casualties on their side in darkness, Pratap alleged. Police barricaded the total area, not allowing the journalists to cover the facts and figures of the raid. Thousands of police were deployed in Bastar division, particularly Narayanpur district, to establish several new advanced base camps. In order to keep their morale high, the higher officials were hiding the facts, Pratap said. Another reason for hiding the facts was that the newly elected BJP (Bharatiya Janata Party) government in Chhattisgarh feared the opposition parties’ criticism of its failure to tackle the Maoists. The Centre also feared that the attack might divert public attention from the Ram Janmabhoomi temple consecration, Pratap alleged, adding that the BJP government was hiding the facts in view of the upcoming 2024 general election and to preserve its power at the Centre.
Read less..."
Jan-2024,January - 16,"The Special Task Force (STF) of Assam Police arrested a senior functionary of the Communist Party of India-Maoist (CPI-Maoist), who was declared ""most wanted"" by the National Investigation Agency (NIA) in 2022, from the Inter-State Bus Terminal (ISBT
Read more... The Special Task Force (STF) of Assam Police arrested a senior functionary of the Communist Party of India-Maoist (CPI-Maoist), who was declared ""most wanted"" by the National Investigation Agency (NIA) in 2022, from the Inter-State Bus Terminal (ISBT) in Guwahati (Kamrup Metropolitan), the capital of Assam, on January 16, reports The Times of India. The 54-year-old leader, Amiruddin Ahmed alias Amiruddin Laskar alias Sunil alias Rana Choudhury alias Rana Das alias Suryo, was declared ""most wanted"" in May 2022 as he was absconding after CPI-Maoist ‘central committee (CC) member’ and ‘politburo’ of the CPI-Maoist, Arun Kumar Bhattacharjee, was arrested in March that year in Barak Valley in Cachar District. Ahmed is a resident of Dhubri District, Assam. According to the Police, the alleged senior Maoist leader joined the organisation in 2009 and was allegedly officiating as a mass organiser in the Cachar area in Assam’s Barak Valley as well as the observer for Dibrugarh District of Assam. The Police stated that the accused was camping in various Adivasi-inhabited areas of the Barak Valley and was working for the organisation.
Read less..."
Jan-2024,January - 17,"A Communist Party of India-Maoist (CPI-Maoist) camp was busted and a huge quantity of explosive materials and ammunition seized by Security Forces (SFs) following an exchange of fire with a group of Maoists in the Budhakhol Forest area in Boudh Distr
Read more... A Communist Party of India-Maoist (CPI-Maoist) camp was busted and a huge quantity of explosive materials and ammunition seized by Security Forces (SFs) following an exchange of fire with a group of Maoists in the Budhakhol Forest area in Boudh District of Odisha on January 17, reports odishabytes.com. Acting on a tip-off about the presence of Maoists, the combing team launched a search operation in the forest. On seeing the force movement, the Maoists opened fire, and the security personnel fired back in self-defense. Following a brief gunbattle, the Maoists fled the site. During the search of the area, a huge cache of Improvised Explosive Devices (IEDs), landmines, electric wires, and other explosives were seized from the spot. Some batteries, Maoist uniforms and literature, medicines, and other items were also recovered from the camp.
Read less..."
Jan-2024,January - 17,"A security personnel who suffered injuries in an Improvised Explosive Device (IED) blast in Bijapur District of Chhattisgarh succumbed after 20 days of treatment at a private hospital in Raipur District on January 17, reports The Times of India. Earl
Read more... A security personnel who suffered injuries in an Improvised Explosive Device (IED) blast in Bijapur District of Chhattisgarh succumbed after 20 days of treatment at a private hospital in Raipur District on January 17, reports The Times of India. Earlier reported by South Asia Terrorism Portal (SATP) that the security personnel from District Reserve Guards (DRG), head constable, Arvind Ekka, sustained severe leg injuries in a pressure IED blast in Kavadgaon village in the Gangalur region of Bijapur District on December 29, 2023. While he underwent surgeries and regular monitoring by doctors, Ekka succumbed to his injuries.
Read less..."
Jan-2024,January - 17,"On January 17 (today) morning, the Security Forces (SFs) exchanged fire with suspected Kuki militants in three different locations in Moreh town of Tengnoupal District of Manipur, reports Indian Express. The militants hurled bombs and fired at a post
Read more... On January 17 (today) morning, the Security Forces (SFs) exchanged fire with suspected Kuki militants in three different locations in Moreh town of Tengnoupal District of Manipur, reports Indian Express. The militants hurled bombs and fired at a post of SFs near SBI Moreh, police said, adding that the SFs retaliated the fire. The militants also fired rocket-propelled grenades (RPG) shells at the temporary commando post damaging several vehicles parked in the vicinity. The SFs retaliated. The suspected Kuki militants fired at a SFs post in Moreh against the arrest of two suspects. SATP had reported that on January 15, a joint team comprising the special commando unit of Manipur Police along with the Moreh Police, arrested two main accused identified as Philip Khaikholal Khongsai and Hemkholal Mate, in the killing of Moreh Sub-Divisional Police Officer (SDPO) Chingtham Anandkumar on October 31, 2023, from near the Moreh College in the Indo-Myanmar border Town of Moreh in Tengnoupal District of Manipur, along with arm, ammunition and explosive.
On January 17, two Indian Reserve Battalion (IRB) troopers, attached to Manipur Police commando, identified as Wangkhem Somorjit Meetei and Takhellambam Sieleshwor Singh, were killed and six others were injured as Kuki militants attacked security forces (SFs) with rocket-propelled grenades (RPG) and numerous live rounds in Moreh in Tengnoupal District of Manipur, reports The Hindustan Times. The six injured Police personnels were identified as Mohammad Kamal Hassan, Songsuathui Aimol, Mohammad Abdul Hasim, Ngasepam Vim, Sidarth Thokchom and K Premananda. SATP had yesterday reported the killing of Wangkhem Somorjit.
Read less..."
Jan-2024,January - 17,"On January 17, a Village Defence Volunteer (VDV) identified as Takhellambam Manoranjan (26) was killed and another volunteer identified as Mangshatabam Wanglen, sustained bullet injuries when suspected Kuki militants attacked a village at the Kangchu
Read more... On January 17, a Village Defence Volunteer (VDV) identified as Takhellambam Manoranjan (26) was killed and another volunteer identified as Mangshatabam Wanglen, sustained bullet injuries when suspected Kuki militants attacked a village at the Kangchup area in Imphal West District of Manipur, reports Northeast Now.
Read less..."
Jan-2024,January - 17,"On January 17, an Improvised Explosive Device (IED) was recovered and destroyed in Kupwara District of Jammu and Kashmir, reports Daily Excelsior. The IED was recovered near Chowkibal on the Srinagar-Chowkibal highway.
Read more... On January 17, an Improvised Explosive Device (IED) was recovered and destroyed in Kupwara District of Jammu and Kashmir, reports Daily Excelsior. The IED was recovered near Chowkibal on the Srinagar-Chowkibal highway.
Read less..."
Jan-2024,January - 17,"On January 17, Assam Police seized a huge quantity of explosives in Goalpara district of Assam, reports Northeast Now. The recoveries included 2000 gelatin sticks, 1800 detonators, eight bundles of blasting wires and one battery.
Read more... On January 17, Assam Police seized a huge quantity of explosives in Goalpara district of Assam, reports Northeast Now. The recoveries included 2000 gelatin sticks, 1800 detonators, eight bundles of blasting wires and one battery.
Read less..."
Jan-2024,January - 17,"On January 17, Border Security Force (BSF) troops recovered a drone near the International Border (IB) in Samba District of Jammu and Kashmir, official sources said, reports Daily Excelsior. The drone was found in a field in the Chambliyal area, they
Read more... On January 17, Border Security Force (BSF) troops recovered a drone near the International Border (IB) in Samba District of Jammu and Kashmir, official sources said, reports Daily Excelsior. The drone was found in a field in the Chambliyal area, they said.
Read less..."
Jan-2024,January - 17,"On January 17, three Border Security Force (BSF) personnel sustained bullet injuries, when a mob attacked Police headquarters in Khangabok in Thoubal District of Manipur, reports NDTV. The injured have been identified as Constable Gourav Kumar, ASI S
Read more... On January 17, three Border Security Force (BSF) personnel sustained bullet injuries, when a mob attacked Police headquarters in Khangabok in Thoubal District of Manipur, reports NDTV. The injured have been identified as Constable Gourav Kumar, ASI Sobram Singh, and ASI Ramji. Police stated that the mob fired at security forces (SFs) and tried to vandalise and burn installations including the Police headquarters, prompting the SFs to retaliate.
Read less..."
Jan-2024,January - 17,"One state policeman was killed when suspected Kuki militants attacked a Security Forces (SFs) vehicle in the border area in Moreh town in Tengnoupal District of Manipur on January 17 (today), police said, reports Indian Express. The deceased was iden
Read more... One state policeman was killed when suspected Kuki militants attacked a Security Forces (SFs) vehicle in the border area in Moreh town in Tengnoupal District of Manipur on January 17 (today), police said, reports Indian Express. The deceased was identified as Wangkhem Somorjit, an Indian Reserve Battalion (IRB) trooper, attached to state police commando in Moreh.
Read less..."
Jan-2024,January - 17,"Slogans supporting Khalistan surfaced in parts of Delhi on January 17 morning (today) ahead of Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun's threats for Republic Day (January 26), reports NDTV. Slogans in support of Khalistan were found wri
Read more... Slogans supporting Khalistan surfaced in parts of Delhi on January 17 morning (today) ahead of Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun's threats for Republic Day (January 26), reports NDTV. Slogans in support of Khalistan were found written on walls of Chander Vihar area of Outer Delhi. The slogans sought a referendum and voting for the demand of separate Khalistan. The Delhi Police have removed the slogans and filed a case in this matter.
Read less..."
Jan-2024,January - 17,"The National Investigation Agency (NIA) in Imphal West District of Manipur, issued non-bailable warrants of arrest against ten individuals including a member of Committee on Tribal Unity (CoTU) and cadres of Kuki militant outfits including Kuki Revol
Read more... The National Investigation Agency (NIA) in Imphal West District of Manipur, issued non-bailable warrants of arrest against ten individuals including a member of Committee on Tribal Unity (CoTU) and cadres of Kuki militant outfits including Kuki Revolutionary Army (KRA), Kuki National Front Military Council (KNF-MC) and the self-styled publicity secretary of Kuki National Front-P/United People's Front (UPF) in three different cases, reports The Sangai Express on January 17. The ten individuals under the NIA scanner have been identified as Mamang Kipgen, Lelen Hangsing, Gougou Lotzem, Haogulal, Lamkhogin Doungel alias Lamhin alias Gigin, LH Stephen, Sasat alias Boipu, Sominthang Sitlhou, Paojachup Sitlhou and Hemkhongam Hangshing. They have been accused of firing on security forces (SFs) and civilian settlements at Kangchup Chingkhong and burning down several houses of the Meiteis The investigating officers stated that the ten persons belonging to different Kuki militant organisations are actively operating in the areas of K Songlung, Twikun Village, Patjang Village, Kharam Vaiphei and Potland villages.
Read less..."
Jan-2024,January - 17,"Uttar Pradesh (UP) Anti-Terror Squad (ATS) on January 17, arrested a student of Aligarh Muslim University (AMU), identified as Faizan Bakhtyar, from Aligarh, for being suspectedly involved in radicalizing youths through spreading Islamic State (IS) i
Read more... Uttar Pradesh (UP) Anti-Terror Squad (ATS) on January 17, arrested a student of Aligarh Muslim University (AMU), identified as Faizan Bakhtyar, from Aligarh, for being suspectedly involved in radicalizing youths through spreading Islamic State (IS) ideology to establish the rule of Islam in India, reports Hindustan Times. UP Police Director General (DG), law and order, Prashant Kumar said the arrested accused Bakhtyar, 24, presently stayed in AMU’s VM Hall, room number 9. He said Bakhtyar’s name surfaced after the arrest of Abdullah Arslan, Maaz bin Tariq and Wajihudeen in 2023, all linked to the same self-radicalized group. Thereafter, a reward of INR 25,000 was announced on his arrest, he added. He said the accused was pursuing Master of Social Work (MSW) from AMU.
Read less..."
Jan-2024,January - 18,"Following inputs regarding the use of Thuraya mobile sets by suspects in the Dergarh area of Samba District of Jammu and Kashmir on January 18 night, Security Forces on January 19 launched a search operation in the area, reports Daily Excelsior.
Read more... Following inputs regarding the use of Thuraya mobile sets by suspects in the Dergarh area of Samba District of Jammu and Kashmir on January 18 night, Security Forces on January 19 launched a search operation in the area, reports Daily Excelsior.
Read less..."
Jan-2024,January - 18,"On January 18, four Meitei civilians including a father-son duo, were shot dead by Kuki militants at Ningthoukhong Kha Khunou in Bishnupur District of Manipur, reports The Sangai Express. The father-son duo was identified as Oinam Bamonjao (63) and O
Read more... On January 18, four Meitei civilians including a father-son duo, were shot dead by Kuki militants at Ningthoukhong Kha Khunou in Bishnupur District of Manipur, reports The Sangai Express. The father-son duo was identified as Oinam Bamonjao (63) and Oinam Manitomba (37) while the other two victims were identified as Thiyam Somendro (53) and Ningthoujam Nabadeep.
Read less..."
Jan-2024,January - 18,"On January 18, Manipur Police recovered three 51mm mortar live shells, four.36 HE Grenades, a Chinese grenade, a smoke grenade, and a mortar cover in Kakching District of Manipur, reports Northeast Now.
Read more... On January 18, Manipur Police recovered three 51mm mortar live shells, four.36 HE Grenades, a Chinese grenade, a smoke grenade, and a mortar cover in Kakching District of Manipur, reports Northeast Now.
Read less..."
Jan-2024,January - 18,"On January 18, Police attached property of Ab Salam Rather, a militant associate, in Anantnag District, reports Daily Excelsior. During the investigation of a case it had surfaced that Zahoor Ahmad Rather, son of Ab Salam Rather, was working as terro
Read more... On January 18, Police attached property of Ab Salam Rather, a militant associate, in Anantnag District, reports Daily Excelsior. During the investigation of a case it had surfaced that Zahoor Ahmad Rather, son of Ab Salam Rather, was working as terrorist associate (OGW) and was providing food, shelter and other logistic support to killed terrorists, identified as Asif Reshi alias Khubaib and Wakeel Ahmad Bhat, alias Talha, at his residential house and thus it falls within ambit of “proceeds of terrorism”. Confirmation of attachment of property was sanctioned by competent authority.
Read less..."
Jan-2024,January - 18,"On January 18, Punjab Police, in a joint search operation with Border Security Force (BSF) personnel, recovered a drone in Amishah Village in Tarn Taran District of Punjab, reports Tribune India. Punjab Police registered a case under sections 10, 11
Read more... On January 18, Punjab Police, in a joint search operation with Border Security Force (BSF) personnel, recovered a drone in Amishah Village in Tarn Taran District of Punjab, reports Tribune India. Punjab Police registered a case under sections 10, 11 and 12 of the Aircraft Act on January 19.
Read less..."
Jan-2024,January - 18,"On January 18, security forces (SFs) recovered a cache of weapons and explosives in Langvon Village in Churachandpur District of Manipur, reports Northeast Now. The seized arsenal included a M4A1 assault rifle, a 9mm pistol, seven single-barreled rif
Read more... On January 18, security forces (SFs) recovered a cache of weapons and explosives in Langvon Village in Churachandpur District of Manipur, reports Northeast Now. The seized arsenal included a M4A1 assault rifle, a 9mm pistol, seven single-barreled rifles, and twelve improvised mortars.
Read less..."
Jan-2024,January - 18,"On January 18, three persons were arrested by the UP Anti-Terror Squad (ATS) during the checking of the vehicle in front of Trimurti Hotel in Ayodhya District in Uttar Pradesh. The arrestees were identified as Rajasthan residents Shankar Dussad alias
Read more... On January 18, three persons were arrested by the UP Anti-Terror Squad (ATS) during the checking of the vehicle in front of Trimurti Hotel in Ayodhya District in Uttar Pradesh. The arrestees were identified as Rajasthan residents Shankar Dussad alias Shankar Jajod, Ajit Kumar Sharma and Pradeep Puniya. Police has found Khalistan links of three suspects, Police said on January 19. Dussad was in touch with Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun through another Canada-based arms smuggler Lakhbir Singh Sandhu alias Landa. Khalistan leaders had asked Dussad to visit Ayodhya and prepare a map of the site. Dussad revealed that he had brought along two of his associates to help him conduct a recce of Ayodhya and prepare a map.
Read less..."
Jan-2024,January - 18,"On January 19, a Border Security Force (BSF) spokesperson stated that an AK-47 assault rifle, two magazines, 40 cartridges and INR 40,000 were seized by the BSF in Ferozepur District of Punjab along the India-Pakistan border on January 18, reports Th
Read more... On January 19, a Border Security Force (BSF) spokesperson stated that an AK-47 assault rifle, two magazines, 40 cartridges and INR 40,000 were seized by the BSF in Ferozepur District of Punjab along the India-Pakistan border on January 18, reports The Hindu. BSF said the seizure was made during a search operation by the BSF after noticing a drone movement which resulted in the recovery of a packet wrapped in a white coloured gunnysack, containing the seized items.
Read less..."
Jan-2024,January - 18,"Tribune India on January 18, reported that the Special Task Force (STF) arrested Sukhwant Singh, a drug peddler with links to cross-border smugglers, and seized seven kilograms of heroin from his possession in Chakk Bajiada Village, Jalalabad area, F
Read more... Tribune India on January 18, reported that the Special Task Force (STF) arrested Sukhwant Singh, a drug peddler with links to cross-border smugglers, and seized seven kilograms of heroin from his possession in Chakk Bajiada Village, Jalalabad area, Ferozpur District, Punjab. According to information, the seized consignment was dropped via drone. Sukhwant had received heroin from Pakistan earlier as well.
Read less..."
Jan-2024,January - 18,"Tribune India reports on January 18 that the Special Task Force (STF) arrested a drug peddler, Sukhwant Singh, having links with cross-border smugglers and seized seven kilograms of Heroin from his possession. According to information, the seized con
Read more... Tribune India reports on January 18 that the Special Task Force (STF) arrested a drug peddler, Sukhwant Singh, having links with cross-border smugglers and seized seven kilograms of Heroin from his possession. According to information, the seized consignment was dropped via drone. Sukhwant had received heroin from Pakistan earlier as well.
Read less..."
Jan-2024,January - 18,"Two persons were convicted on January 18, by a special court of the National Investigation Agency (NIA) in a case related to the recruitment and radicalisation of youth for establishing a terror module affiliated with Al-Qaeda in the Indian Sub-Conti
Read more... Two persons were convicted on January 18, by a special court of the National Investigation Agency (NIA) in a case related to the recruitment and radicalisation of youth for establishing a terror module affiliated with Al-Qaeda in the Indian Sub-Continent (AQIS), reports India Today. The accused, Jalaluddin Sheikh and Abdus Subhan, residents of Goalpara District, Assam, were radicalising youth for the Ansarullah Bangla Team (ABT) affiliated with AQIS, according to NIA. The duo had pleaded guilty to the crime under various sections of the Indian Penal Code (IPC) and the Unlawful Activities (Prevention) Act-UAPA in the case initially registered by Assam Police in August 2022 and taken over by the NIA in September, 2022.
Read less..."
Jan-2024,January - 19,"A China-made drone was recovered from the fields near Amishah village in the Tarn Taran District of Punjab on January 19, reports Tribune India.
Read more... A China-made drone was recovered from the fields near Amishah village in the Tarn Taran District of Punjab on January 19, reports Tribune India.
Read less..."
Jan-2024,January - 19,"Border Security Force (BS) troops arrested two persons near the International Border in the Amritsar District of Punjab on January 19 and seized 530 grams of Heroin from them, reports Tribune India. While frisking persons, who had gone ahead of the b
Read more... Border Security Force (BS) troops arrested two persons near the International Border in the Amritsar District of Punjab on January 19 and seized 530 grams of Heroin from them, reports Tribune India. While frisking persons, who had gone ahead of the border fence for farming, BSF troops found two large packages and a smaller packet concealed in slippers, a BSF officer said.
Read less..."
Jan-2024,January - 19,"Border Security Force (BSF) troops patrolling the Indo-Pakistan border in Ferozepur District foiled a drug smuggling attempt, and recovered a total of three packets containing approximately three kilograms of suspected Heroin near Village Lal Singh k
Read more... Border Security Force (BSF) troops patrolling the Indo-Pakistan border in Ferozepur District foiled a drug smuggling attempt, and recovered a total of three packets containing approximately three kilograms of suspected Heroin near Village Lal Singh ke Jhugge on January 19, reports ANI.
Read less..."
Jan-2024,January - 19,"Slogans and graffiti supporting Khalistan was found on the boundary wall of a government school in Delhi's Uttam Nagar area on January 19, reports Hindustan Times. An unnamed senior police officer said the graffiti reading 'SJF, January 26, Khalistan
Read more... Slogans and graffiti supporting Khalistan was found on the boundary wall of a government school in Delhi's Uttam Nagar area on January 19, reports Hindustan Times. An unnamed senior police officer said the graffiti reading 'SJF, January 26, Khalistan' was painted on the pillar by an unidentified person in a very secluded area.
Read less..."
Jan-2024,January - 19,"Three key associates – identified as Jagdish, Davinder, and Manjeet alias Manjinder, all residents of Rajpura - of designated terrorist and Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun were arrested by the State Special Operation Cell (SSOC)
Read more... Three key associates – identified as Jagdish, Davinder, and Manjeet alias Manjinder, all residents of Rajpura - of designated terrorist and Sikhs for Justice (SFJ) chief Gurpatwant Singh Pannun were arrested by the State Special Operation Cell (SSOC) in Banur area of Sahibzada Ajit Singh Nagar District in Punjab on January 19, officials said, reports Hindustan Times. The accused told the police that all three were in contact with Pannun. The SSOC seized Khalistan flags and spray paint from their possession. In the interrogation, the accused revealed that Pannun had instructed them to target several government buildings in Mohali to raise the Khalistan flag and spray pro-Khalistan slogans on walls before January 26. During the interrogation, it was also revealed that they had also done recce of several government buildings in Mohali. It has also come to light in the interrogation that the accused are facing various criminal cases in Haryana as well.
Read less..."
